ResponseId,party,open_ingroup,open_outgroup,in_middle_class,in_hardworking,in_reasonable,in_normal_ordinary,in_family_values,in_freedom,in_responsibility,in_similar_same,in_uneducated,in_selfish,in_disinformation,in_easily_influenced,in_rich_elite,in_populist,in_party_ano,in_party_spd,in_party_government,in_dont_know,in_tolerant,out_middle_class,out_hardworking,out_reasonable,out_normal_ordinary,out_family_values,out_freedom,out_responsibility,out_similar_same,out_uneducated,out_selfish,out_disinformation,out_easily_influenced,out_rich_elite,out_populist,out_party_ano,out_party_spd,out_party_government,out_dont_know,out_tolerant
R_8FLDLzx4qbtFgqo,STAN,Rada s nimi diskutuji o tomto tematu,"Zalezi na tom, jak danou osobu znam, pokud ji znam blize, jina politicka orientace mi nevadi, ale snazim se tomuto tematu vyhybat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2RPRq4ovrE7ahRR,STAN,Jako rozumní lidi co mají nadledl nad společností ,"Mají nesmyslné nsvrhy a cse vidí cerne. Vse špatně 
",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_29uLtddhAELcSYx,ANO,mají stejné nebo podobné názory a jsou schopni uznat názory jiných,"jsou to fanatici, kteří nepřipustí jiný názor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2agjlQEmNzGZgnD,ANO,"Opět musím konstatovat,mají právo na svůj názor a mohou se s mým názorem ztotožnit.budou mi sympatičtí.","Je to jejich právo,žijeme ve svobodné zemi,aspoň v to doufam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R_81T1WQiXajzzrSZ,ANO,"Důchodci, kterým tato vláda ukradla podvodně zákonné navýšení duchodu a změnila záměrně zákon ","Ti, co jsou nadšeni že zrušení ET a tím připravili státní rozpočet o hodně peněz a umožnili nepoctivým podnikatelům okrádat stát o daně ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2jZhtZNe5untPLD,ODS,"Jsou schopni vést dialog a naslouchat názoru diskutujícím.
Předpokládám znalost základních pojmů a chápání diskutovaného problému
Očekávám slušnost a vzájemnou úctu bez ohledu na postavení účastníků diskuse.","Arogance a neochota naslouchat každému kdo má jiný názor.
Neznalost základních pojmů jako je demokracie nebo svoboda. Většina z nich se zaštiťuje těmito pojmy (demokracie a svoboda), ale sami absolutně netuší, co tato slova znamenají! 
Naprostá neschopnost vést dialog a každým, kdo má jiný názor!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2tKg6ZOWz45oI2e,,Podporují rovnoprávnost manželství pro všechny. Adopci gayů. Doživotní tresty za sexuální zneužívání dětí a znásilnění. Podporuje českou korunu. Zavedl by znovu Trest smrti. K volbám nechodí protože jeden hlas nemůže ovlivnit názor většiny v této zemi plné ovcí. ,Zatvrzele ovce žijící v minulosti mající klapky na očích.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2JUSZ8kauGhRdgB,,nevím co mám napsat. nevím nevím,dfgsdfgdfgsdfgadfgadfgadfgadfgadfgagagadfgadf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2Ebwj4cLQw6d0FH,ANO,"lidé mírní, neagresivní, rádi pomáhají druhým, ochotní druhým vzdy pomoci","lidé vysoce postavení zamestnáním OSVC, vyšší příjmy, se zájmem rozsirovat svuj majetek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2aT3BNVdNTryLhT,ODS,"Osoby, které podporují rodiny s dětmi a nenechají je žít z almužny. Zajímají se o ekologii a životní prostředí.","Je jím společnost, lidé a příroda lhostejní.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R_81pSSiGmWyLu1lr,,"Myslí hlavou. Dívají se, hodnotí a analyzují z více pohledů situaci. Mluví pravdu a nelžou. Vychází z faktů a nelze svých přání. Nelezou někam.","Nemyslí, ale papouškují je to co jim někdo nechystá. Chtějí se zavděčit. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8V1yzu8xjD7wJgJ,STAN,"Nestěžuji si, jsou pracovití a užívají si zivota","Hospodské názory, nákup plný košík, spíše nepotřebné věci a říkají, jak se mají špatně a domů si vezmou taxi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2QhVwiYwnYa3rmn,ANO,"Premysli, kdyz jim neco nevyhovuje ozvu se, necekaji ze se veci vyresi sami","Jsou to jednoduchy lide, nepremysli, mysli si, ze se veci zmeni i kdyz proto nic nedelaji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2Dtf5pWmDtwA0hd,STAN,Lidé kteří mají selský rozum. Nevidí svět černobíle. Než něco či někoho odsoudí zjistí si fakta a poté se rozhodnou.,"To jsou lidé kteří myslí jen samy na sebe a nevidí tzv za roh. Koukají se na svět černobíle, je buď dobro nebo zlo. Nedokážou pochopit podstatu věci a většinou se o ní ani nezajímají. ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_24qaGAeUCAsRB3H,ANO,"stejně jako ty, kteří mají vnímání politiky opačné",Podle mého názoru má každý člověk nárok na svůj pohled na současné dění,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_833DmB9dYiIfKx6,ANO,"Sociální smýšlení 
Slušné jednání 
Zaopatřený
S životem spokojený 
Nebojácný ","Max. pravicový 
Max. levicový
Nespokojenci
Méně vzdělání 
Bez rozhledu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_3fJ8t8Qkni3Enzn,TOP09,"Falešnici, pokrytci, hrabaji si pro sebe ","Cizinci, uprchlíky, Ukrajinci, cinani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
