respondent_idx,mds_dim1,mds_dim2,party,ingroup_text
69,-0.2557935176871157,-0.7622684928656103,Pirati,introvert nerd nesnasi komouse
70,0.47116714191198644,0.009599103054431277,STAN,"Ověřují si informace z různých zdrojů a nevěří všemu co politici říkají. Chtějí, aby ČR dobře fungovala, aby politici byli čestní a pracovali pro dobro národa a ne ve svůj prospěch. Overuji si informace, sleduji zprávy a mají přehled o tom co se děje, aby byli schopni fundovaný rozhodovat koho volit. Nenechají si vše líbit a když jim něco vadí, tak požadují změnu a to na základě informaci a argumentů a ne na základě emocí a davu okolo."
71,0.5858874560384993,0.45122214675175415,Pirati,s ničim se neseru nic mě nerozhodí
72,-0.14406801667567762,-0.11037318167954374,Unknown,"Jsou to lidé, kterým se nelíbí, jak se k obyčejným lidem vláda chová. A všechno se odvíjí od peněz... Třeba uklízečka nebo pomocná síla v kuchyni mají tolik práce, že by se z toho kdejaký poslanec posral, ale z výplaty nemají možnost důstojně vyžít, musí mít i jinou práci, aby zaplatili složenky a dětem dopřáli třeba lyžařský výcvik. I v těchto domácnostech jsou velmi chytré děti, které nemůžou studovat, protože prostě nejsou bohatí, i když jejich rodiče dělají prospěšnou, dobrou a fyzicky namáhavou práci. A tito lidé se pak dívají na to, jak si poslanci navyšují už tak vysoké mzdy. To je velmi smutné! 
Dalším problémem je zdravotnictví. Čím víc jsme ´mulikulti´ tím je to horší...
"
73,0.36240725178119504,0.3837462199921963,ANO,"Normální lidé, akorát se názorově na politiku shodneme"
74,0.5721347728355126,-0.022886190089807048,ODS,"Nejčastěji vzdělání lidé. Nedají se koupit, ani obalamutit. Dokáží mluvit kriticky i ke své vlastní volbě a hlavně diskutovat k tématu. Schopnost bavit se o hlubších tématech, odhalit fakenews, ochotu si přečíst relevantní zdroje k tématu, nebo minimálně kompletního volebního program strany, kterou chtějí volit."
75,-0.7133179902872742,-0.09929082689108265,SPD,"Objektivně hodnotí současnou světovou, evropskou i domácí politiku a snaží se z pozice  vlastenců zachránit Českou republiku od toho hnusu co nás obklopuje "
76,-0.32318289071465933,0.5651768912831395,ANO,"Sympatický, mají rozum jako já:)"
77,-0.03652180255371045,0.08110671258580245,ANO,Jsou to lidé kterým jde o to aby ve vládě a v politice byli lidé kteří chtějí zlepšovat životy našich občanů 
78,0.25442802973189504,0.5230121262174854,ANO,"Vystudovaní ekonomové, kteří mají přehled, jaký je vývoj ekonomik v ostatních evropských státech. Ti, co by považovali přijetí EUR za vlastizradu."
79,-0.17235128422685334,0.7183301665360057,Unknown,normální starší člověk se zkušenostmi
80,-0.6071419450858959,-0.2917951885621362,ODS,"Snaží se starat o sebe a nespoléhat na stát.
Od státu očekávají malé, ale efektivní služby a vůbec vynakládání prostředků např. na infrastrukturní stavby.
Přísná kontrola a omezená velikost dávkového systému.
Minimální dotační podpora ze státních peněz. Kdo chce peníze, ať si je vydělá, nebo sežene soukromého sponzora."
81,0.7626760687372163,0.1703150363366872,ANO,rozumím si s nimi obvykle i v jiných věcech
82,-0.7669973183409997,-0.16750565760699682,Pirati,Normalni lide se svými probley
83,-0.26567638850513536,-0.46338070401135195,Unknown,V tomto případě jsou mi takoví lidé sympatičtí a ráda s nimi vedu konverzace na dané témata. 
84,0.28698977046896224,0.7212407821972406,SPD,"Střední vrstva, rodina s dětmi."
85,-0.09601535144952111,0.6277814061869937,ANO,"nevím, úplně neřeším politiku"
86,-0.655160443187615,-0.4330657459576989,ANO,"Převážně se to týká důchodců, kterým bylo za současné vlády velmi ublíženo. "
87,0.16796350031201113,0.5347421283083269,ANO,Normální pracujíci lidé s průměrnou i nižší mzdou
88,-0.5308535961679628,0.04310557415029444,STAN,"Lide jsou pracoviti, nechcou nic zadarmo. Chapou ze ma nekdo jiny nazor a nemusi se kvuli tomu navzajem mlatit."
89,-0.4057122101798407,-0.2402272706747603,ANO,"Vetsinove politiku s temito lidmi neresim a obvykle tito lide politiku neresi verejne, nicmene znam par osob ve svem okoli, jejichz postoje jsou velmi podobne te mym a nelze je zobecnit, protoze jsou to vesmes lide velmi ruzneho spektra vzdelani, zajmu, atd. "
90,-0.5531929525888216,0.5239101343801487,KSCM,nezkušenost v politice doma i v evrop
91,-0.2377470723102542,-0.5671412799023224,Other,"Člověk, který citlivě vnímá dění okolo sebe a je zvlášť všímavý vůči nespravedlnostem a bezpráví. Obává se rizik a snaží se zajistit dobré podmínky k životu pro čestné, slušné a pracovité lidi."
92,0.7007111006622403,-0.3508367193192813,ANO,maji svuj nazor a mohou si ho uplatnovat
93,-0.7045977042413047,0.3875452530854106,STAN,"Otevreni zmene, Evrope. Ne prehnane nacionalisticti"
94,-0.233491949867398,0.5551262621708293,ANO,"Jsou tolerantní k názorům ostatních, ale ze svých zásad nesleví."
95,0.5702105503671568,-0.16463620921167726,ANO,"obycejni lide, jako ostatni

"
96,-0.47189874553128897,-0.43996131259200566,STAN,Normální lidi s názorem stejným jako já . Že ODS prostě špatně řidi náš stát a čim dál víc naš národ zadlužuje. Mnělo by ODS prostě samo začit u sebe šetřit a ne si zvyšovat výplaty když na to neni
97,-0.049205133526763985,-0.44349748636861125,ANO,Jsou to lidé z mého blízkého okolí žijící normálním rodinným a pracovním životem.
98,0.25891900400977425,0.6440215514469606,ANO,Lidé kteri nemaji moc penez za to kolik hodin pracuji
99,-0.5272901332545114,0.4170972399641356,ODS,"Nevím nic mě nenapadá, nedělám to"
100,-0.17636667706658937,0.7712967810760635,Unknown,Mohu s nimi otevřeně mluvit.
101,-0.36116577079830303,-0.5559935688281733,ODS,"Mladý člověk, který se nezajímá o politiku až v takovém měřítku a slýchává o politice z různých koutů interaktivního světa a ze sociálních sítí."
102,-0.7472255230690705,-0.21304333332484005,ANO,Nemám rád když politci lžou 
103,0.7099006423147225,-0.21935642310489575,ANO,chtějící srovnat stav v republice pro lepší životní podmínky
104,0.6807413184934007,0.07047962892906877,Other,"Lidé, se kterými si lze popovídat o skutečných problémech a poměrech v naší zemi bez lží. "
105,0.0228966139197326,0.5586115023200966,Unknown,Lidé novodobě smýšlející. Bez omezeného názoru a rozhodování.
106,0.7445792182012752,-0.17326427352069243,Other,Nebavíme se spolu o politice
107,0.7886103198569582,-0.056703671960867716,ANO,Empatie s obyčejným lidmi 
108,0.5811978906272477,-0.12823572977193404,STAN,"Zajímavé, jako já, poslech bych si je"
109,-0.5483947809750876,-0.13951632086098695,ODS,"Jde o lidi vzdělané,sledující politickou situaci doma i ve světě.Spoléhají se na sebe jsou uspěšní v práci a nespoléhají se na stát,že jim pomůže.Dokáží poznat populisty a lháře v politice."
110,-0.05298009238165831,0.6799547570094586,TOP09,"Jsou ochotni naslouchat, nestěžují se, vnímají kladně naše členství v v EU a NATO, mají zájem se vzdělávat."
111,-0.1577811954478448,0.6138257654919316,Unknown,"Příliš se o politiku nezajímají. Jsou odpůrci extremismu, násilí, šíření paniky"
112,0.42473175239657845,0.6234932607283096,Unknown,"obyčejný člověk, který si na nic nehraje a nechce se nechat dál odírat rozhodnutími vlády"
114,0.185744584680383,-0.3585954181693032,KDU-CSL,"Tito lidé jsou vzdělaní, přemýšliví, ověřují si informace, snaží se svým životem přispívat ke společnému dobru."
115,-0.4752907308267381,-0.047356590309821874,STAN,"Lidi, kteří se zajímají o současné dění,. ověřují si informace, nedůvěřují populistickým vlivům, mají zkušenosti a historickou paměť, nepodléhají davové psychóze"
116,0.4889198550128592,0.45410748309667587,ODS,"Snaží se v co nejvíce ohledech vydělat si samina sebe, na pomoc státu spoléhat jen v urgentních případech - vážná nemoc, nenadálá složitá životní situace. Plní si sám povinnosti vůči státu a má o nich přehled. Zároveň je solidární, nesnaží se vyhnout placení daní a odvodů. Je proevropský, schopný kompromisů, není radikální. Nevěří všem informacím, které slyší, snaží se imformace ověřit a nečerpá je z dezinformačních zdrojů. Je ochotný se přiměřeně uskrovnit, aby pomohl ostatním/ společnosti."
117,-0.3121258595583327,0.7325691845408392,SPD,"Spolehliví, empatičtí, podporující, ohleduplní.. "
118,0.003774433403730638,0.6992721556315545,ODS,Od státu nic neočekávají a umí se o sebe postarat
